序号,课题名称,姓名,工作单位,项目类别,所在学科
284,城投债的集聚违约风险与动态预警研究,李培志,东北财经大学,青年项目,统计学
285,交叉性金融风险水平测度、传导路径识别与监测预警研究,贾帅帅,广州大学,青年项目,统计学
286,企业金融化引致系统性风险的统计监测研究,黄哲豪,广州大学,青年项目,统计学
287,产业链安全视角下区域产业分工调整与实现路径研究,郑腾飞,国家发展和改革委员会产业经济与技术经济研究所,青年项目,统计学
288,重大突发公共安全事件风险评估预警与分担机制的统计研究,杨雅明,天津财经大学,青年项目,统计学
289,中国居民线上消费碳中和路径研究,陈广武,北京师范大学,青年项目,统计学
290,高质量发展视域下产业转型升级对居民消费的影响研究,王勇,江西财经大学,青年项目,统计学
291,新发展格局下制造业数字化转型对产业升级影响的统计研究,郑冰,浙江理工大学,青年项目,统计学
292,碳中和目标约束下企业碳信息披露质量与外部监管机制研究,符少燕,海南大学,青年项目,统计学
293,我国居民消费潜力的多维测度及消费政策优化研究,陆地,吉林财经大学,青年项目,统计学
294,健康中国战略背景下国民健康区域差异的测度、分解与对策研究,郭同济,江西财经大学,青年项目,统计学
295,中国区际数字鸿沟多级测度及弥合策略研究,田政杰,山东财经大学,青年项目,统计学
296,碳中和目标下环境协同治理的健康效应统计研究,周远翔,安徽财经大学,青年项目,统计学
297,新发展阶段中等收入群体规模的统计测度与扩大策略研究,孙伯驰,北京师范大学,青年项目,统计学
298,我国数字产业集群竞争力测度与提升路径研究,师磊,南京财经大学,青年项目,统计学
299,新时代中国特色社会主义政治正义理论研究,陈绍辉,北京大学,青年项目,政治学
300,西南边疆国家政权建设档案资料的收集整理与研究（1949-1966）,赵局建,云南大学,青年项目,政治学
301,国外计算政治学的演进与发展趋势研究,陈鹏,武汉理工大学,青年项目,政治学
302,新技术时代西方民主机制失调研究,杨春林,山东大学,青年项目,政治学
303,海外中国共产党政治研究的学术史研究,廖幸谬,中山大学,青年项目,政治学
304,近年来欧美主要国家政党制度的结构性问题研究,孙润南,北京航空航天大学,青年项目,政治学
305,党领导下的“三治合一”村级治理组织体系运行模式和驱动机制研究,李鑫涛,南开大学,青年项目,政治学
306,“党员下沉基层”背景下的社区治理共同体建设机制研究,包涵川,长安大学,青年项目,政治学
307,新时代建立治疆国际话语权应对外部挑战机制研究,赵桃桃,深圳大学,青年项目,政治学
308,人民代表与中国特色社会主义民主政治研究,童志超,中山大学,青年项目,政治学
309,现代政治代表结构的基础理论研究,张旭斌,中南财经政法大学,青年项目,政治学
310,比较历史视野下的政治文化变迁研究,胡鹏,复旦大学,青年项目,政治学
311,中国近代思潮中的政治共同体问题研究,苏鹏辉,陕西师范大学,青年项目,政治学
312,新冠肺炎疫情防控中科学-政府-大众关系的社会治理研究,郭凤林,北京外国语大学,青年项目,政治学
313,新时代党领导基层治理的政治整合机制研究,王江伟,江西师范大学,青年项目,政治学
314,区域环境治理中的地方政府间博弈及其规范研究,张振波,南京审计大学,青年项目,政治学
315,乡村振兴中的基层“动员-参与”协同机制研究,郑永君,西北农林科技大学,青年项目,政治学
316,乡村振兴战略下基层行政区划调整治理效能研究,韦欣,北京大学,青年项目,政治学
317,城市基层居民自治制度自我完善和发展的动力机制与实现路径研究,陈科霖,深圳大学,青年项目,政治学
318,老旧小区改造中居民自愿合作行为影响机制与激励对策研究,肖哲,南京农业大学,青年项目,政治学
319,市域社会治理中一线治理的运作和提升机制研究,赵洲洋,中共中央党校（国家行政学院）,青年项目,政治学
320,数字化转型背景下特大城市精细化管理长效机制研究,薛泽林,上海社会科学院,青年项目,政治学
321,数字技术驱动城市基层治理效能的生成机理与提升路径研究,吴新星,苏州大学,青年项目,政治学
322,特大城市社区综合服务平台化供给能力提升研究,张振洋,上海师范大学,青年项目,政治学
323,中国慈善组织参与应急治理的边界逻辑与能力提升研究,陈斌,华中科技大学,青年项目,政治学
324,基于卫生健康共同体建设的政策整合机制研究,吴文强,福建师范大学,青年项目,政治学
325,“放管服”改革进程中全面实行政府权责清单制度的路径研究,王锐,兰州大学,青年项目,政治学
326,地方政府选择性提供公共服务的财政动因与政策优化研究,刘欢,南京农业大学,青年项目,政治学
327,数字乡村建设背景下农村基本公共服务质量提升机制研究,张鹏,温州大学,青年项目,政治学
328,问责视角下新时代农民公共服务需求与精准回应研究,李华胤,华中师范大学,青年项目,政治学
329,复合治理视角下的社会矛盾防范化解机制研究,王琼,西安交通大学,青年项目,政治学
330,经济功能区与行政区间的治权冲突及协调机制研究,陈永杰,杭州师范大学,青年项目,政治学
331,自贸试验区与周边经济功能区间的政府协同机制研究,陈建科,中共江苏省委党校,青年项目,政治学
332,我国基层政府绩效评估机制优化研究,李倩,中国政法大学,青年项目,政治学
333,地方政府公务员大数据素养的结构、测度与培养路径研究,张红春,贵州大学,青年项目,政治学
334,少数基层干部“空忙”现象及矫治机制研究,段哲哲,深圳大学,青年项目,政治学
335,新时代基层干部担当作为的生成逻辑与促进机制研究,谭新雨,华东理工大学,青年项目,政治学
336,大数据环境下“循环式”重大决策社会稳定风险评估的实现机制研究,李月,东北大学,青年项目,政治学
337,算法治理视域下政府数字化转型的实践困境及其破解机制研究,王中原,复旦大学,青年项目,政治学
338,中国援助对非洲国家经济发展政策选择的影响研究,黄振乾,中国农业大学,青年项目,政治学
339,防范和遏制外部势力利用议会干预香港事务机制研究,严行健,华东政法大学,青年项目,政治学
340,高度警惕和坚决遏制“柔性台独“分裂活动的对策研究,张遂新,清华大学,青年项目,政治学
341,基于智慧赋能的社区应急协同响应机制研究,贾晶晶,广东外语外贸大学,青年项目,政治学
342,社区韧性视角下公共卫生应急治理能力提升研究,张力伟,吉林大学,青年项目,政治学
343,明末清初君主论的转型与发展研究,魏朝利,上海社会科学院,青年项目,政治学
344,中国共产党百年反分裂斗争的历史经验研究,周光俊,华东政法大学,青年项目,政治学
345,社会组织协商中的基层商会“话事人”角色研究,傅熠华,中山大学,青年项目,政治学
346,政府购买公共服务的问题及治理对策研究,崔杨杨,中共上海市委党校,青年项目,政治学
347,撤县设市改革绩效优化路径研究,邢健,湖北大学,青年项目,政治学
348,基层问责异化现象的生成机理与治理路径研究,吕永祥,武汉大学,青年项目,政治学
349,中国地方政府廉政治理激励机制研究,许天翔,中国社会科学院社会学研究所,青年项目,政治学
350,数字技术驱动乡村治理的伦理风险防范研究,唐志远,湘潭大学,青年项目,政治学
351,中国共产党长期执政的法理依据研究,林骏,安徽大学,青年项目,法学
352,党内法规解释机制及其运行研究,马菱霞,中共山东省委党校,青年项目,法学
353,善良风俗之司法应用机制与基层社会治理研究,孙梦娇,河南师范大学,青年项目,法学
354,法治乡村建设中的“示范”机制研究,李梦侠,云南大学,青年项目,法学
355,数字人权的司法保障机制研究,高一飞,浙江工商大学,青年项目,法学
356,智慧司法中法律推理与法律解析的融合路径研究,魏斌,浙江大学,青年项目,法学
357,数据要素确权的法律供给研究,文禹衡,湘潭大学,青年项目,法学
358,信息处理者的安全保障义务研究,苏成慧,西南政法大学,青年项目,法学
359,国家治理体系下的明清时期藏族寺规研究,夸加,青海师范大学,青年项目,法学
360,唐宋时期律令法体系向律例法体系的转型研究,李云龙,山东大学,青年项目,法学
361,岳麓简《秦律令》所见秦代罪刑之制辑释与研究,齐伟玲,西北政法大学,青年项目,法学
362,《钦钦新书》与中朝传统法律文明交流研究,张钧波,黔南民族师范学院,青年项目,法学
363,我国宪法序言价值构造的特质与趋向研究,宁凯惠,广东财经大学,青年项目,法学
364,落实中央对香港特别行政区监督权实施机制研究,朱姗姗,华南理工大学,青年项目,法学
365,数字经济与数据治理中少数群体权利保障研究,江秋伟,广东工业大学,青年项目,法学
366,紧急状态下公民权利克减的法治难题及其对策研究,梅扬,武汉大学,青年项目,法学
367,内部行政外部化研究,谭达宗,湘潭大学,青年项目,法学
368,数字政府时代算法行政的程序法治问题研究,李芹,河北大学,青年项目,法学
369,海上公共卫生法律治理研究,孙思琪,上海海事大学,青年项目,法学
370,功能主义视角下公共危险犯罪行为的处罚边界研究,李婕,安徽大学,青年项目,法学
371,功能主义刑法观视角下侵犯公民个人信息罪的保护法益研究,姜盼盼,河北农业大学,青年项目,法学
372,生物安全的刑法预防性保护研究,张永强,西南政法大学,青年项目,法学
373,财产犯罪的财产损失之研究,王琦,中共中央党校（国家行政学院）,青年项目,法学
374,刑事合规视野下智能技术单位的刑事责任研究,席若,南京财经大学,青年项目,法学
375,民法典人格权禁令民事程序构造研究,冯煜清,东南大学,青年项目,法学
376,民法典实施背景下多数人之债的共同诉讼类型研究,袁琳,华东师范大学,青年项目,法学
377,民事类案“算法”的程序法理,曹云吉,天津大学,青年项目,法学
378,刑事案件网上审判方式实证研究,杜磊,中国人民大学,青年项目,法学
379,刑法扩张背景下法定犯司法证明体系研究,陈苏豪,南京审计大学,青年项目,法学
380,习近平法治思想中的程序法治要义研究,陈爱飞,中南财经政法大学,青年项目,法学
381,民法典适用中返还法规则的体系联动与解释论建构研究,刘亚东,首都经济贸易大学,青年项目,法学
382,民法典视野下的非典型担保现代化研究,李付雷,福建师范大学,青年项目,法学
383,《民法典》合同通则在保险领域的法律适用研究,蔡大顺,湖北大学,青年项目,法学
384,民法典中隐私权与个人信息的协同保护研究,金耀,宁波大学,青年项目,法学
385,乡村振兴背景下宅基地收益权实现路径创新研究,唐欣瑜,海南师范大学,青年项目,法学
386,侵权损害的限制赔偿原理及规范技术研究,王磊,贵州大学,青年项目,法学
387,因果力比较的归责构造及其运用研究,蒋太珂,华东政法大学,青年项目,法学
388,优化营商环境背景下信用监管的法治化研究,张鲁萍,西南政法大学,青年项目,法学
389,数字经济时代资本无序扩张的竞争法规制研究,胡国梁,江西财经大学,青年项目,法学
390,区域一体化中的公平竞争审查例外制度研究,黄军,青岛大学,青年项目,法学
391,数字经济时代反垄断法实施难点问题研究,朱静洁,云南财经大学,青年项目,法学
392,数据不正当竞争行为司法规制的实证研究,陈耿华,西南政法大学,青年项目,法学
393,“一带一路”服务贸易增值税管辖权协调研究,任宛立,暨南大学,青年项目,法学
394,金融业增值税制度的中国样本与立法完善研究,郑俊萍,南昌大学,青年项目,法学
395,新发展格局下数字税立法原理研究,程前,南开大学,青年项目,法学
396,民法典实施中绿色条款的法律适用研究,李华琪,河海大学,青年项目,法学
397,生态文明视域下自然资源统一确权登记制度研究,韩英夫,辽宁大学,青年项目,法学
398,新发展格局下种质资源安全法治体系建构研究,刘庆,杭州电子科技大学,青年项目,法学
399,环境健康权保护的公私法协动进路研究,朱炳成,中国政法大学,青年项目,法学
400,国有企业国际经贸规则中的中国方案构建研究,丁如,中国政法大学,青年项目,法学
401,利益平衡视角下的阻断法实施问题研究,丁汉韬,中南财经政法大学,青年项目,法学
402,全球治理中我国承认与执行外国民事判决制度构建研究,黄志慧,中南财经政法大学,青年项目,法学
403,保障“南海行为准则”有效实施的法律问题研究,张琪悦,上海国际问题研究院,青年项目,法学
404,习惯国际法在海洋法领域的新发展与中国的对策研究,刘思竹,复旦大学,青年项目,法学
405,系统理论视角下基于四向价值判断的反思型司法决策模型研究,姜永伟,大连海事大学,青年项目,法学
406,乡村振兴背景下乡村精细治理的实践机制与法治保障研究,王福强,安徽大学,青年项目,法学
407,网络安全信息共享的法律保障研究,方婷,西北大学,青年项目,法学
408,传统中国判牍案例中的司法理念及其当代价值研究,潘萍,河海大学,青年项目,法学
409,平政院稀见文献整理与研究,胡译之,上海社会科学院,青年项目,法学
410,全国人大常委会授权改革试点决定案例研究,周宇骏,湖南大学,青年项目,法学
411,中国特色社会主义法律体系中的监察法规研究,刘怡达,湖南大学,青年项目,法学
412,美好生活视角下休闲权的法理重构与实现机制研究,黄镇,暨南大学,青年项目,法学
413,国家公园体制中的保护地役权制度研究,马允,中国政法大学,青年项目,法学
414,行政法视野下公共惩罚结构失衡之调适研究,马迅,华东政法大学,青年项目,法学
415,证明事项告知承诺制的实施困境与法治应对研究,黄锴,浙江工业大学,青年项目,法学
416,声誉制裁在行政法中的体系定位与法治完善研究,王瑞雪,南开大学,青年项目,法学
417,行政诉讼起诉期限类型化构建研究,范伟,中国政法大学,青年项目,法学
418,智慧司法背景下犯罪嫌疑人社会风险的大数据评估方法研究,周翔,浙江大学,青年项目,法学
419,轻微犯罪出罪机制研究,孙本雄,北京理工大学,青年项目,法学
420,基于统一法秩序的预防性惩罚机制构建研究,邱帅萍,湖南科技大学,青年项目,法学
421,企业合规视野下企业认罪认罚从宽制度构建及适用研究,孔令勇,安徽大学,青年项目,法学
422,刑事诉讼量刑合意机制实证研究,贾志强,吉林大学,青年项目,法学
423,我国刑事证明标准的实践样态与认知模式研究,谢澍,中国政法大学,青年项目,法学
424,有效帮助目标导向下我国值班律师制度建构的实践问题与完善对策研究,程衍,华东政法大学,青年项目,法学
425,数字时代下格式条款的强制性内容管制体系研究,王俣璇,北京交通大学,青年项目,法学
426,公私法协动视野下生态环境损害救济机制体系化研究,彭中遥,湖南大学,青年项目,法学
427,证券监管介入上市公司治理的体系性构造研究,吕成龙,深圳大学,青年项目,法学
428,新时代中国航天专利的复合保护研究,陈志杰,暨南大学,青年项目,法学
429,品牌学视角下的驰名商标反淡化保护制度研究,卢结华,佛山科学技术学院,青年项目,法学
430,以“区分功能”为基础的地理标志立法研究,宋昕哲,海南大学,青年项目,法学
431,文本和数据挖掘的著作权合理使用制度研究,何蓉,中南财经政法大学,青年项目,法学
432,系统性风险防范下金融科技反垄断规制研究,刘乃梁,重庆大学,青年项目,法学
433,金融监管透明度法治保障研究,刘盛,华南理工大学,青年项目,法学
434,以基本公共服务均等化消除相对贫困的法治路径研究,李若兰,中共中央党校（国家行政学院）,青年项目,法学
435,用工组织形式数字化变革的法律应对研究,王茜,上海工程技术大学,青年项目,法学
436,离婚冷静期实施效果实证研究,葛向孜,中华女子学院,青年项目,法学
437,国际投资仲裁涉及中国的裁决执行问题研究,连俊雅,北京理工大学,青年项目,法学
438,人类命运共同体理念下载人航天商业化制度构建研究,龙杰,深圳大学,青年项目,法学
439,中国农村社会工作史研究,徐其龙,广西师范大学,青年项目,社会学
440,外源性组织嵌入乡村社会的民国经验与启示,陈旭华,哈尔滨工业大学,青年项目,社会学
441,历史社会学视角下农地“三权分置”的形塑机制和效应研究,陈颀,华中科技大学,青年项目,社会学
442,德国古典社会学中的共同体思想研究,张巍卓,中国人民大学,青年项目,社会学
443,基于多源时空数据的犯罪风险预警模式研究,石拓,北京警察学院,青年项目,社会学
444,超大城市犯罪空间的形成机制与防控策略研究,张延吉,福州大学,青年项目,社会学
445,“三权分置”背景下水权流动对乡村治理的挑战与对策研究,李华,太原理工大学,青年项目,社会学
446,构建我国国际化社区治理共同体的现实困境与实现路径研究,马萧,华东理工大学,青年项目,社会学
447,基于中国边疆社会调查的族际朋友交往及其影响因素研究,周文,云南大学,青年项目,社会学
448,县域视角下乡村振兴与新型城镇化融合发展研究,安永军,北京工业大学,青年项目,社会学
449,积极老龄化视角下农村老年人健康不平等消解机制及政策优化研究,杨晶,湖南大学,青年项目,社会学
450,城乡融合发展视角下农村土地资源整合机制研究,陈文琼,中南大学,青年项目,社会学
451,金融化视角下我国收入分配差距变迁与共同富裕研究,朱斌,中国人民大学,青年项目,社会学
452,我国特大城市青年的居住困境及其支持政策研究,连彬,华东理工大学,青年项目,社会学
453,新冠疫情防控下中英两国不同类型城市社区治理模式研究,刘思遥,中央民族大学,青年项目,社会学
454,互联网时代湘粤桂交界地区的技术治理与数字赋能研究,申玲玲,湘潭大学,青年项目,社会学
455,互联网环境下的个人日常交往模式变迁研究,田林楠,江苏省社会科学院,青年项目,社会学
456,政府购买社区服务的项目制运作风险及其防控研究,毛明明,贵州师范大学,青年项目,社会学
457,长江禁捕背景下湖区退捕渔民生计转型与可持续发展路径研究,龚梦玲,江西省社会科学院,青年项目,社会学
458,农村家庭育赡投入之代际冲突与干预对策研究,华静,宁夏大学,青年项目,社会学
459,矿区生态环境治理的制度创新与社会参与机制研究,胡溢轩,福州大学,青年项目,社会学
460,乡村振兴背景下凉山彝族村寨“景村”空间融合的机制与模式研究,李念,四川农业大学,青年项目,社会学
461,社会不平等与环境问题交互影响和缓解机制研究,王琰,南开大学,青年项目,社会学
462,礼治思想与中国乡村社会治理研究,李海云,山东大学,青年项目,社会学
463,舒适物理论视角下生态移民安置社区文化再造研究,文立杰,山东理工大学,青年项目,社会学
464,农村临终关怀模式构建的文化适宜性研究,龚霓,暨南大学,青年项目,社会学
465,失智症长期照护的人类学研究,吴心越,东南大学,青年项目,社会学
466,留守儿童和流动儿童健康及其社会影响研究,沈纪,首都师范大学,青年项目,社会学
467,农村患癌群体的流动就医与健康社会工作干预研究,陈泽霖,福建医科大学,青年项目,社会学
468,新时代农民家庭代际合作育儿模式研究,李永萍,南开大学,青年项目,社会学
469,国家亲权视野下流动未成年人虞犯教育保护体系构建研究,杨岭,集美大学,青年项目,社会学
470,新发展阶段城市3—6岁多维贫困儿童的家庭教育社会支持研究,杨晨晨,南通大学,青年项目,社会学
471,“技术控制”视角下新职业群体就业支持政策研究,昌硕,中共北京市委党校,青年项目,社会学
472,互联网经济背景下平台劳动者的嵌入性及其社会保护研究,魏海涛,华中师范大学,青年项目,社会学
473,乡村振兴背景下新型农业雇佣关系的社会基础与劳动秩序研究,吴存玉,山东师范大学,青年项目,社会学
474,中国居民再分配偏好的影响机制及结构特征研究,杨琨,河海大学,青年项目,社会学
475,生计资本视角下边缘贫困户脆弱性评估及治理研究,华汛子,湖北大学,青年项目,社会学
476,城郊“超级村庄”的社会样态及其衍生问题研究,齐苗苗,吉林大学,青年项目,社会学
477,乡村振兴背景下农村转型的内生动力与路径优化研究,梁栋,山东大学,青年项目,社会学
478,西南民族地区返贫致贫风险防范与常态化帮扶机制研究,孙晗霖,西南大学,青年项目,社会学
479,新发展阶段农村兜底减贫长效机制构建与路径优化研究,兰剑,西南大学,青年项目,社会学
480,乡村振兴背景下农村社会治理共同体培育及其生成机制研究,田孟,中南大学,青年项目,社会学
481,相对贫困农户主体性缺失的发生机制与治理策略研究,杨永伟,山东大学,青年项目,社会学
482,乡村振兴背景下治理低效的生成逻辑与破解路径研究,张红阳,清华大学,青年项目,社会学
483,城镇化进程中社会心态的隧道效应研究,张衍,中国社会科学院社会学研究所,青年项目,社会学
484,3-6岁儿童电子媒体使用对道德行为的影响研究,王佳,北京联合大学,青年项目,社会学
485,基于社会分类视角的儿童心理贫困形成机制与对策研究,孙山,湖北大学,青年项目,社会学
486,学前流动儿童社会退缩行为的机制及干预研究,朱晶晶,上海师范大学,青年项目,社会学
487,情绪线索对儿童信任判断影响机制的追踪研究,汤玉龙,浙江工业大学,青年项目,社会学
488,留守儿童短视频媒体使用对心理健康的影响及机制研究,钞淼,天津师范大学,青年项目,社会学
489,疫情防控常态化下网络社交沟通偏差的心理机制与干预研究,谢久书,南京师范大学,青年项目,社会学
490,“饭圈”社群的认同机制与治理研究,景星维,西南交通大学,青年项目,社会学
491,低生育率背景下企业家庭友好实践建设及政府扶持研究,来宪伟,河南师范大学,青年项目,社会学
492,新时代群团组织与社会工作的嵌合机制与实践路径研究,高丽,郑州轻工业大学,青年项目,社会学
493,专业性社会组织参与信访矛盾化解的机制研究,张帆,吉林大学,青年项目,社会学
494,二代流动儿童回流的发生机制、社会后果与干预政策研究,朱志胜,北京第二外国语学院,青年项目,社会学
495,未成年人口自杀风险的社会根源和预防策略研究,常青松,厦门大学,青年项目,社会学
496,互联网使用视域下农村留守儿童多维健康及其社会影响研究,陈亮,广东金融学院,青年项目,社会学
497,事实无人抚养儿童脆弱性评估及社会工作干预研究,陈相云,河南科技大学,青年项目,社会学
498,儿童福利视角下我国普惠性托育服务体系建设研究,江夏,扬州大学,青年项目,社会学
499,未成年人保护的社会工作整合性服务体系构建研究,汪鸿波,江西财经大学,青年项目,社会学
500,基于健康生活方式理论的我国低龄老年人健康素养研究,柴向南,南京大学,青年项目,社会学
501,社会工作参与乡村社会治理共同体建设的路径研究,王杰,福州大学,青年项目,社会学
502,嵌合视角下农村发展型社会工作的实践路径研究,何宇飞,华中农业大学,青年项目,社会学
503,新时代社会工作服务的赋权评估实践体系研究,刘江,南京理工大学,青年项目,社会学
504,治理共同体视域下社区服务项目制的协同困境与机制创新研究,严骏夫,上海应用技术大学,青年项目,社会学
505,社会治理共同体视域下社区服务项目制研究,张海,华东政法大学,青年项目,社会学
506,互联网时代农民工“零工经济”的社会保护研究,王一,吉林大学,青年项目,社会学
507,个人退休决策视角下渐进式延迟退休年龄对基本养老保险的影响研究,石晨曦,重庆工商大学,青年项目,社会学
508,长期护理保险对失能老人家庭照护的影响及健康效应研究,史薇,北京理工大学,青年项目,社会学
509,伦敦政治经济学院图书馆藏费孝通档案整理与研究,孙静,泉州师范学院,青年项目,社会学
510,中国特色文化资本对代际流动的影响机制研究,韩钰,济南大学,青年项目,社会学
511,特大城市居住空间分异的邻里效应及其治理研究,蒋和超,西南财经大学,青年项目,社会学
512,基于政策与科学共演过程的循证决策机制研究,程曦,苏州大学,青年项目,社会学
513,乡村振兴战略下市场化、多元化草原生态补偿机制研究,石腾飞,青岛大学,青年项目,社会学
514,赣闽粤边区地方性知识与乡村社会治理研究,吴玉彬,赣南师范大学,青年项目,社会学
515,文化社会学视角下中国农村基础教育政策的非预期性后果,折曦,中国社会科学院社会学研究所,青年项目,社会学
516,健康中国战略下孕产期妇女的抑郁生成轨迹及社会支持体系研究,安姗姗,江南大学,青年项目,社会学
517,草场承包制改革下的新型游牧形式研究,阿妮尔,中国社会科学院社会学研究所,青年项目,社会学
518,新时代我国家庭教育投入状况挤兑儿童发展的影响研究,张振宇,济南大学,青年项目,社会学
519,全球疫情背景下海外中国劳工的生存困境及权益保障研究,刘兴花,华中科技大学,青年项目,社会学
520,地位获得视域下农业转移人口的职业教育回报研究,李颖晖,西北政法大学,青年项目,社会学
521,农民电商创业风险及其治理的社会学研究,周浪,华中科技大学,青年项目,社会学
522,社会组织市场化转向与自我造血实践研究,王元腾,上海社会科学院,青年项目,社会学
523,平台企业参与社会治理的模式和机制研究,刘学,中国社会科学院社会发展战略研究院,青年项目,社会学
524,欠发达地区乡村产业发展中的女性赋权及其社会影响研究,许汉泽,南京航空航天大学,青年项目,社会学
525,农业现代化进程中小农户“组织困境”破解研究,冯小,西北农林科技大学,青年项目,社会学
526,新发展格局下健全社会心理危机干预机制的关键要素和路径优化研究,刘卿,浙江工业大学,青年项目,社会学
527,社会支持对家庭贫困青少年亲社会行为的作用和影响机制研究,姚卓君,苏州大学,青年项目,社会学
528,重大突发公共卫生事件中民众疫情疲劳的影响机制与改善策略研究,张燕,深圳大学,青年项目,社会学
529,重大疫情下一线医务工作者心理应激反应的时程机制及数字化干预研究,周宁宁,华东师范大学,青年项目,社会学
530,我国城市老年群体自杀问题的社会干预机制研究,徐倩,南京信息工程大学,青年项目,社会学
531,社会救助对农村贫困儿童人力资本发展的动态干预机制研究,葛霆,南京大学,青年项目,社会学
532,困境儿童家庭韧性提升的社会工作介入研究,王梦怡,南京林业大学,青年项目,社会学
533,易地扶贫搬迁移民的社会抗逆力研究,魏爱春,常州大学,青年项目,社会学
534,租购并举住房制度下城市公共服务均等化研究,陈伟,上海大学,青年项目,社会学
535,中国第二次人口转变的空间分布及产生机制研究,王东晖,中国人民大学,青年项目,人口学
536,失能老人家庭照料负担及社区支持研究,孙金明,廊坊师范学院,青年项目,人口学
537,社区居家医养结合服务高质量运作模式研究,曹杨,四川大学,青年项目,人口学
538,数字技术促进老年健康的社区支持机制研究,宁雯雯,武汉科技大学,青年项目,人口学
539,西南民族地区就近城镇化供需失配格局与匹配优化研究,赵美风,天津师范大学,青年项目,人口学
540,基于承载力匹配视角的都市圈人口空间格局演变和优化路径研究,陈金英,浙江师范大学,青年项目,人口学
541,数字鸿沟中的“新型失能”老人问题及社会支持研究,山娜,北京服装学院,青年项目,人口学
542,老年农民工的养老风险分析与应对政策研究,谢娅婷,河南农业大学,青年项目,人口学
543,新业态下灵活就业人员适应性养老保险制度构建研究,方群,江西财经大学,青年项目,人口学
544,新疆内地籍人口社会融入程度与模式差异化研究,刘磊,石河子大学,青年项目,人口学
545,数字经济背景下农民工数字素养与社会融合研究,朱明宝,中南财经政法大学,青年项目,人口学
546,家庭养育成本对生育的影响及生育支持政策构建研究,周宇香,中国青少年研究中心,青年项目,人口学
547,获得感视角下的就业质量评价和提升路径研究,凌珑,南京师范大学,青年项目,人口学
548,超大城市流动人口的精神健康风险评估与应对策略研究,罗雅楠,北京大学,青年项目,人口学
549,乡村振兴背景下返乡流动儿童心理健康及其影响机制研究,赵冠岚,浙江大学,青年项目,人口学
550,南岭走廊乡村建设行动中民族特色风貌保护传承研究,梅骏翔,桂林理工大学,青年项目,民族学
551,各民族共享的中华民族形象建构路径及传播策略研究,李倩岚,南京航空航天大学,青年项目,民族学
552,川藏铁路与铸牢中华民族共同体意识研究,谢伟民,西藏大学,青年项目,民族学
553,新时代新疆民族团结进步模范区创建与铸牢中华民族共同体意识成效理论与实践研究,魏功祥,新疆维吾尔自治区社会科学院,青年项目,民族学
554,晚清边疆语言文字新政与中华民族共同体建构研究,赫佳妮,北京大学,青年项目,民族学
555,武陵山片区传统手工艺的知识产权保护研究,向玥,怀化学院,青年项目,民族学
556,川西北牧区农牧民相对贫困识别与长效治理研究,杨帆,四川大学,青年项目,民族学
557,西北民族地区三线建设遗产在铸牢中华民族共同体意识中的价值挖掘与活化利用研究,杜华君,北方民族大学,青年项目,民族学
558,滇西北民族特色传统村落家园建构及其动态保护研究,冯慧超,浙江理工大学,青年项目,民族学
559,川藏公路文化遗产整体性保护与活化利用研究,张勃,重庆交通大学,青年项目,民族学
560,行动者视角下太行山区传统村落和乡村风貌保护的典型调查研究,罗士泂,北京体育大学,青年项目,民族学
561,“路学”视域下青藏铁路与多民族交融共生研究,马巍,宁夏大学,青年项目,民族学
562,乡村集市与武陵走廊多民族交往交流交融研究,谭萌,北京大学,青年项目,民族学
563,西部民族地区巩固脱贫成果的内生型社会动员机制研究,李全利,广西师范大学,青年项目,民族学
564,青藏高原农牧区义务教育教师统筹配置问题研究,宋维玉,青海师范大学,青年项目,民族学
565,就业优先背景下民族地区职业教育产教融合发展研究,高岳涵,天津大学,青年项目,民族学
566,后疫情时期南疆四地州农户家庭债务及化解途径研究,娜比拉·海萨尔,新疆农业大学,青年项目,民族学
567,新中国成立初期中华民族共同体建设研究（1949-1957）,张福强,北方民族大学,青年项目,民族学
568,新时代中国共产党治藏方略研究,刘玉,西藏大学,青年项目,民族学
569,多元一体格局中的中华民族共同体形象研究,徐欣顺,清华大学,青年项目,民族学
570,元代蒙语直译体文献汇编,花兴,内蒙古民族大学,青年项目,民族学
571,畲族口传史诗演述传统与多民族交融互动研究,孟令法,重庆工商大学,青年项目,民族学
572,川西藏区牧业社会的等级制变迁与现代工商业市场研究,赵珽健,厦门大学,青年项目,民族学
573,黄河上游少数民族传统村落保护与振兴的典型调查研究,巨浪,西北师范大学,青年项目,民族学
574,乡村振兴背景下西江流域圩文化空间的现代利用与创造性转化研究,张晨,广西艺术学院,青年项目,民族学
575,川黔古盐道线性文化遗产系统性保护与利用研究,黄小刚,贵州民族大学,青年项目,民族学
576,明清湘黔苗区边墙遗址遗存调查与整理,陈文元,贵州民族大学,青年项目,民族学
577,中越边疆地区外籍务工人员社会适应及安全治理研究,麦艳航,南宁师范大学,青年项目,民族学
578,三江源地方性生态知识与牧民生存智慧研究,东主卓玛,青海民族大学,青年项目,民族学
579,宋朝西北边疆族群的国家认同研究,王道鹏,安徽师范大学,青年项目,民族学
580,清代湘西苗区儒家文化传播与国家认同研究,张熙,信阳师范学院,青年项目,民族学
581,清代集部文献中的新疆多民族交往交流交融研究,秦帮兴,新疆大学,青年项目,民族学
582,中国古代北方游牧民族先世建构与历史书写研究,温拓,云南大学,青年项目,民族学
